date,open,high,low,close,volume,diff,ration,real
2018/1/8,73.8,74.5,72,72,10224,-0.7,-0.009722222,1
2018/1/9,72.8,73.2,71.6,72.3,4617,-0.5,-0.006915629,1
2018/1/10,72.8,72.8,70.8,70.8,5901,1.8,0.025423729,1
2018/1/11,70.6,71.3,70.2,70.2,3729,2.8,0.03988604,2
2018/1/12,70.5,71.4,70.4,71.3,2473,0.7,0.009817672,1
2018/1/15,72.3,72.7,71.6,71.8,3371,-0.7,-0.009749304,1
2018/1/16,72.3,73.5,71.8,72.6,4809,-1.4,-0.019283747,1
2018/1/17,72.3,73.8,72,73,5938,-3.5,-0.047945205,0
2018/1/18,73.6,73.6,72,72,3802,-2.8,-0.038888889,0
2018/1/19,72.2,72.3,71,71.1,9177,-2.5,-0.035161744,0
2018/1/22,71,71.9,70.2,71.2,4175,-1.9,-0.026685393,1
2018/1/23,71.3,71.3,69.3,69.5,7343,0.7,0.010071942,1
2018/1/24,69.4,70.2,69.1,69.2,7666,2.2,0.031791908,2
2018/1/25,69.8,70.4,68.5,68.6,7217,2.4,0.034985423,2
2018/1/26,68.8,69.5,68.8,69.3,3072,1.2,0.017316017,1
2018/1/29,69.8,71.5,69.6,70.2,5961,0.4,0.005698006,1
2018/1/30,70.5,71.8,70.1,71.4,9364,-2.8,-0.039215686,0
2018/1/31,73.7,75,71,71,20613,-8.7,-0.122535211,0
2018/2/1,71,71.7,70.5,70.5,5170,-7,-0.09929078,0
2018/2/2,70.4,71.2,70.2,70.6,3346,-8.5,-0.120396601,0
2018/2/5,69.1,69.3,67.4,68.6,5384,-8.6,-0.125364431,0
2018/2/6,66.1,67,61.9,62.3,14244,-2.4,-0.038523274,0
2018/2/7,63.8,64.6,63,63.5,8131,-0.5,-0.007874016,1
2018/2/8,63.1,63.5,62.1,62.1,5215,-0.1,-0.001610306,1
2018/2/9,58.3,60,57.8,60,8199,2.5,0.041666667,2
2018/2/12,60.1,60.5,59.8,59.9,3968,2.3,0.038397329,2
2018/2/21,62.6,63,61.2,63,6676,-2,-0.031746032,0
2018/2/22,62.9,62.9,61.9,62,3075,-0.6,-0.009677419,1
2018/2/23,62.8,63.7,62.4,62.5,4971,-1.5,-0.024,1
2018/2/26,63,63.3,61.9,62.2,2562,-1.7,-0.02733119,1
2018/2/27,62.6,63.3,60.9,61,6162,-0.5,-0.008196721,1
2018/3/1,60.7,61.8,60.4,61.4,3649,-0.9,-0.01465798,1
2018/3/2,61.1,61.8,60.7,61,2926,0.1,0.001639344,1
2018/3/5,61.5,62.5,60.5,60.5,4034,0.6,0.009917355,1
2018/3/6,61.1,61.4,60.5,60.5,2757,1.5,0.024793388,1
2018/3/7,59.5,60.5,58.6,60.5,4623,2.5,0.041322314,2
2018/3/8,60.7,61.4,60.7,61.1,2440,1.2,0.019639935,1
2018/3/9,61.9,61.9,61,61.1,3006,0.7,0.011456628,1
2018/3/12,61.4,62.2,61.4,62,3165,0.3,0.00483871,1
2018/3/13,62.2,63.9,62,63,7520,-0.6,-0.00952381,1
2018/3/14,62.7,62.9,62.1,62.3,2882,-0.3,-0.004815409,1
